Month,ICICI Pru Large & Mid Cap (NAV ₹)
1/04/2023,608.77
1/05/2023,621.18
1/06/2023,668.44
1/07/2023,707.14
1/08/2023,694.82
1/09/2023,724.61
1/10/2023,706.48
1/11/2023,750.56
1/12/2023,797.3
1/01/2024,813.26
1/02/2024,843.92
1/03/2024,860.23
1/04/2024,862.44
1/05/2024,876.08
1/06/2024,923.4
1/07/2024,967.88
1/08/2024,944.11
1/09/2024,976.64
1/10/2024,940.82
1/11/2024,916.73
1/12/2024,902.42
1/01/2025,894.38
1/02/2025,852.93
1/03/2025,860.41
1/04/2025,922.76
1/05/2025,963.47
1/06/2025,990.22
1/07/2025,1014.86
1/08/2025,1038.54
1/09/2025,1058.92
1/10/2025,1031.44
1/11/2025,1056.28
1/12/2025,1079.36
1/01/2026,1058.83
1/02/2026,1052.17
1/03/2026,1082.34
1/04/2026,1128.24
