Month,Motilal Oswal Large & Midcap (NAV ₹)
1/04/2023,19.83
1/05/2023,20.2
1/06/2023,21.66
1/07/2023,23.44
1/08/2023,22.88
1/09/2023,24.2
1/10/2023,23.6
1/11/2023,25.41
1/12/2023,27.49
1/01/2024,28.68
1/02/2024,30.62
1/03/2024,31.39
1/04/2024,31.72
1/05/2024,32.08
1/06/2024,34.72
1/07/2024,37.34
1/08/2024,36.68
1/09/2024,38.29
1/10/2024,36.97
1/11/2024,36.1
1/12/2024,35.21
1/01/2025,34.72
1/02/2025,32.89
1/03/2025,33.24
1/04/2025,35.12
1/05/2025,36.44
1/06/2025,37.08
1/07/2025,37.89
1/08/2025,38.62
1/09/2025,39.18
1/10/2025,38.14
1/11/2025,38.84
1/12/2025,39.51
1/01/2026,38.72
1/02/2026,38.44
1/03/2026,39.28
1/04/2026,37.17
