Months,"Closing Price (₹),",Dividend per Share (₹)
1/1/2023,171.63,0
1/2/2023,158.68,0
1/3/2023,172.15,0
1/4/2023,178.8,0
1/5/2023,181.75,0
1/6/2023,182.35,0
1/7/2023,188.75,0
1/8/2023,170.27,0
1/9/2023,173.3,0
1/10/2023,174.63,0
1/11/2023,217.85,0
1/12/2023,225.32,10.5
1/1/2024,251.18,0
1/2/2024,301.92,0
1/3/2024,301.2,0
1/4/2024,303.67,0
1/5/2024,313.9,0
1/6/2024,303.95,0
1/7/2024,350.05,0
1/8/2024,357.65,10.5
1/9/2024,369.95,0
1/10/2024,310.75,0
1/11/2024,292.1,0
1/12/2024,292.45,0
1/1/2025,261.1,5
1/2/2025,237.3,0
1/3/2025,278.47,0
1/4/2025,310.05,0
1/5/2025,318.4,0
1/6/2025,331.95,0
1/7/2025,329.3,5
1/8/2025,308.2,0
1/9/2025,339.65,0
1/10/2025,356.8,0
1/11/2025,359.1,7.5
1/12/2025,384,0
