Date,"Closing Price (₹),",Dividend per Share (₹)
1/1/2023,119.7,0
1/2/2023,103.95,0
1/3/2023,104.5,0
1/4/2023,107.95,0
1/5/2023,105.8,0
1/6/2023,112,3.6
1/7/2023,123.15,0
1/8/2023,122.9,0
1/9/2023,128.9,0
1/10/2023,118.75,0
1/11/2023,127.9,0
1/12/2023,139.6,0
1/1/2024,135.95,0
1/2/2024,140.85,0
1/3/2024,155.85,0
1/4/2024,165,0
1/5/2024,167.2,0
1/6/2024,174.01,3.6
1/7/2024,165.33,0
1/8/2024,152.76,0
1/9/2024,168.55,0
1/10/2024,148.56,0
1/11/2024,144.54,0
1/12/2024,138.05,0
1/1/2025,134.62,0
1/2/2025,137.2,0
1/3/2025,154.24,0
1/4/2025,140.08,0
1/5/2025,161.02,0
1/6/2025,159.76,3.6
1/7/2025,157.94,0
1/8/2025,154.48,0
1/9/2025,168.77,0
1/10/2025,182.84,0
1/11/2025,167.96,0
1/12/2025,180.08,0
